id	section	location	citation_as_written	canon_card	bib_verdict	claim	claim_verdict	evidence	first_commit
G3-hdr22	3	docs/data/thakur2014_eepa_adhesive_elastoplastic_dem.csv:4	doi 10.1007/s10035-014-0506-4	thakur2014_eepa_adhesive_elastoplastic_dem	V	CSV 머리 서지	V	정본 카드 own DOI 와 일치 (카드에서 추출한 데이터 시트)	
G3-dp1	3	docs/data/densification_porosity_db.csv (source = ours_minnmann)	"LPSCl cold-press Minnmann" — pure_SE 300 MPa porosity 10 %, precision "experiment_anchor"	minnmann2021_jes · minnmann2022	—	순수 SE 10 % @300 MPa 실험 앵커	M	감사 A MI-2 · C A1	f5f5fcc15 2026-06-22
G3-dp2	3	docs/data/densification_porosity_db.csv (varkey2026 · ngandjong2021 · minnmann2024 · sakuda2013 · lee2025 · doux2020)	카드 슬러그 6 종 (21 행)	varkey2026 · ngandjong2021 · minnmann2024 · sakuda2013 · lee2025_corolling · doux2020	V	분리막/양극 공극–압력 · 캘린더링 · FIB-SEM 공극 · 유리 밀도 추세 · 500 MPa 제조압 · 18 % @370	V	카드 값 대조: varkey 45/35/31/25/21 · 49/39/38/37.5/37 % · ngandjong 41.6/31.5/27.2 · minnmann2024 10/7.5/6 % (segmented) · sakuda >90 % @>350 (stated), ~87 % @300 (판독) · doux 18 % @370	
G3-ri1	3	docs/data/rint_eis_anchors.csv (bielefeld_sigma_ion · bielefeld_sigma_e)	source "Bielefeld JES abf8d7" — LPSCl σ_ion 1.6 mS/cm · σ_e < 1e-6 S/cm	minnmann2021_jes_charge_transport_bottlenecks	M (서지 — abf8d7 은 Minnmann, Quillman, Burkhardt, Richter, Janek)	값 1.6 mS/cm · 1e-6 S/cm	V	minnmann2021 카드 L91–92: LPSCl 이온 bulk 1.6 mS/cm @25 °C, 전자 1 × 10⁻⁶ S/cm. anchor_id 도 "bielefeld_*"	537808972 2026-07-21
G3-ri2	3	rint_eis_anchors.csv (kim2025 8 행)	kim2025 Electrochim. Acta 542 147413 Table S6 / S4	kim2025_impedance_decoupling_tlm_assb	V	R_ct 453.4/289.9/382.4 · 22.4/18.2/17.2 · 139.6/67.8	V	카드 L102·107·108 (cam_kinetics.py selftest 가 이 행을 대조)	
G3-ri3	3	rint_eis_anchors.csv (yun2023_rct_growth · yun2023_rion_growth)	Yun 2023 EnSM TableS1	yun2023_deciphering_degradation_halide_vs_sulfide	V	R_ct 341.7→982.3 · R_ion 126→156	V	카드 L128–129 (126.1→155.6)	
G3-ri4	3	rint_eis_anchors.csv (nam2026_* 6 행)	Nam 2026 SI Fig S8b · Fig S15a→S20a	nam2026_primer_layer_dry_electrode_collector	V	R_collector 0.0320/0.0159/0.0189/0.0204 Ω·cm² · DCIR 42→93.5, 17.5→40.5 Ω	V	카드 L536 (32.0/18.9/20.3/16.2/15.9/20.4 mΩ·cm²) · L542–543	
G3-ri5	3	rint_eis_anchors.csv (scnmc_pristine_floor)	acsami.1c07952	없음	V (검색 — Doerrer … Grant, ACS AMI 13 (2021) 37809, SC-NMC83/Li₆PS₅Cl)	R_int 40 Ω·cm² (비대칭압 2.5/0.2 MPa)	B	값 미확인 (precision 열 스스로 "confirmed_snippet")	
G3-ri6	3	rint_eis_anchors.csv (pritzl_collector_growth)	10.1149/2.0451904jes	없음	V (검색 — Pritzl et al., JES 166 (2019) "Identifying Contact Resistances in High-Voltage Cathodes by Impedance Spectroscopy")	집전체 접촉 R 10→30 Ω·cm² (액체 LNMO)	B	값 미확인 · 액체 아날로그 표지는 정직	
G3-ri7	3	rint_eis_anchors.csv (park2023_coated_shape · park2023_bare_shape)	Park 2023 AEM 10.1002/aenm.202203861	없음	V (검색 — Park et al., AEM 13 (2023), LiDFBOP CEI / Li₆PS₅Cl)	√t 기울기 25.73 Ω h⁻⁰·⁵ · bare = parabolic	B	precision "text_stated_search" = 검색 요약 — 미확인	
G3-ri8	3	rint_eis_anchors.csv (payandeh_coated_retention)	Payandeh 2023 AdvMatInterf 10.1002/admi.202201806	없음	V (검색 — AMI 10(3))	LNO 코팅 SC-NMC 93 % @200 cyc	B	검색 요약과 일치하나 원문 미대조	
G3-ri9	3	rint_eis_anchors.csv (nature2025_ni85_detach)	Nature Energy 2025 10.1038/s41560-025-01726-8	없음	V (검색 — Park et al., Nat. Energy 10, 479–489, "columnar" Ni-rich CAM)	Ni≥85 = 입자내부 고립 + CAM/SE 이탈 지배	U	기구 주장 미확인	
G3-ri10	3	rint_eis_anchors.csv (lipon_benchmark · llzo_contact_loss · collector_* · lab_*)	"review EnergyMaterAdv 0163" · "acsaem.5c02435" · "mixed(3agent survey)" · "user-lab Fig6e" · "이종기술 EIS 4셀" · "SC √N + primer ~3× 앵커"	—	U / 랩 자료	LiPON 7.6 Ω·cm² · LLZO 100–300 Ω · 집전체 3.5–18.5 · 랩 SBE/DBE/C-SUS/SUS R_int	U	문헌 서지가 불완전하거나 (리뷰 번호만) 랩 자료 — 웹앱 시나리오 키 (lab_*) 는 문헌 인용이 아니라 사용자 랩 측정·투영이고 라벨 (panel_e_approx · projected_literature) 이 정직하다	
G3-sp1	3	docs/data/sc_poly_preset.csv (d_s_sc) · ncm_sc_poly_ds_i0_anchors.csv (Trevisanello 2 행)	Trevisanello 2021 AEM 2003400 SC GITT 밴드 1e-15–1e-14 m²/s (1e-11–1e-10 cm²/s) · PC 1e-10–1e-9 cm²/s (confidence "web_abstract")	trevisanello2021_sc_pc_ncm_cracking_diffusion	V	웹앱 문헌 프리셋 d_s_sc 3e-15 (밴드 기하중앙)	P	카드 §2.2: SC D̃ ≈ 2 × 10⁻¹¹ cm²/s @x=0.4 (= 2e-15 m²/s), 문헌 1e-11–7e-11, ASSB 접촉 6e-12; PC 는 겉보기 ≥10× — 밴드 상단 1e-10 과 PC 구간은 카드에 수치로 없다	
G3-sp2	3	sc_poly_preset.csv (d_s_poly) · ncm_sc_poly (Chen 2 행)	Chen 2020 JES 167:080534 — DFN fit r = 5.22 µm, D_s 4e-15 m²/s · i0 m_ref 3.42e-6	없음	V (검색 — LG M50 파라미터화)	웹앱 프리셋 d_s_poly 4e-15	B	값 (PyBaMM Chen2020 세트) 미대조	
G3-sp3	3	ncm_sc_poly_ds_i0_anchors.csv (Kang&Shin · Koo 2025 · Kim 2025 · Jung 2023 · Hong 2026 · O'Regan · McClelland)	카드/검색 혼합 7 종	kang2025_toughened_bimodal_nca_lzo · koo2025 · kim2025 · jung2023 · hong2026	V (카드 5) · B (O'Regan, 감사 C) · U (McClelland)	D 3e-14 · i0 10 (모델 입력) · SC 1.5e-15 · R_ct · 5C 74.0 vs 41.6 · D_Li PTFE ~1e-10 vs NBR →1e-12	V (카드 5)	kang2025 Table S4 L122·128 · koo2025 L212 · jung2023 L31–32 · hong2026 L282–283; McClelland 2023 Chem. Mater. (µSR 3.4e-11) 검색 안 함	
G3-es	3	docs/data/esse_calibration_2mAh_real_9.csv (source 2 행)	"raw(SE-only …; **Cronau validation**)"	cronau2021_stack_pressure_ionic_conductivity	—	순수 SE 겹침 11–12 % 가 Cronau 소성 바닥을 재현	M	Cronau 2021 은 적층압–σ 측정, 겹침 항목 없음 (감사 C B6)	1eb6f6500 2026-06-06
G3-pos	3	나머지 CSV "source" 류 열 (bielefeld2019 · bucci · chen2011 · cronau2021 · doux2020 · electromechanical · kim2024 · klar2016 · kogut · so2021 · so2022 · stomakhin · schreiner · shi2019 · pasha2014 · luding2008 · dmt 등)	stated / digitized / Fig·eq 번호 · 리뷰 내부 참고번호 (mun2025 primary_ref · liu2025 source_ref · deysher2022 original_source_ref · so2022 "[4] Sakuda")	각 카드	—	위치 라벨	—	인용 문자열이 아니라 카드 안 위치 표기 — 판정 대상에서 뺐다 (세어서 기록만)	
G3-cm-thornton2013	3	docs/literature_coverage/contact_mechanics_db.json	Thornton, Cummins & Cleary, "An investigation of the comparative behaviour of alternative contact force models during **elastic** collisions", Powder Technol. (2013), doi 10.1016/j.powtec.2012.08.012	없음	M (서지 혼합 — 그 DOI 는 "…during **inelastic** collisions", PT 233 (2013) 30–46; "elastic" 판은 2011 논문)	"Explicitly treats the effective modulus as a free parameter calibrated against experimental benchmarks (here: porosity at applied pressure). Matches our … E_eff = 1.35 GPa"	M	검색 요약: 사구체 경사 충돌의 반발 운동학 비교·"partially latching spring" 제안 — 공극–압력 보정이 아니다	660600a44 2026-04-24 (import)
G3-cm-mf2000	3	docs/literature_coverage/contact_mechanics_db.json	Mesarovic & Fleck, IJSS 37 (2000) 7071–7091	mesarovicfleck2000_dissimilar_elastoplastic_indentation	V	"Provides quantitative dr_yield_onset ≈ 0.015 and dr_fully_plastic ≈ 0.04 thresholds used in DR_YIELD_ONSET / DR_FULLY_PLASTIC constants"	M	카드에 δ/R 문턱 없음 — 카드는 첫 항복 p_m ≈ 1.1σ_y, 완전소성 aE*/R₀σ₀ ≳ 50–100 (감사 C C3)	660600a44 (import)
G3-cm-jg2005	3	docs/literature_coverage/contact_mechanics_db.json	Jackson & Green, J. Tribol. 127 (2005) 343–354 (id "jackson_green_2005_wear")	jacksongreen2005_fem_elastoplastic_hemispherical_contact	V	① "Confirms the 1.5 %–4 % δ/R transition window" ② "A_plastic saturates near F/H for δ/R > 0.04" ③ "C ≈ 1.295"	①U ②M ③P	카드: 경도는 상수가 아니라 a/R 과 σ_y/E' 에 따라 진화 ("Tabor 상수 기각") → ② 반대; C = 1.295·exp(0.736ν) (식 2) → ③ ν 항 누락	660600a44 (import)
G3-cm-cs1979	3	docs/literature_coverage/contact_mechanics_db.json	Cundall & Strack 1979 (Géotechnique 29, 47–65)	없음	V	"legitimises E_eff calibration approach" (spring stiffness is a modelling parameter)	P	일반론은 맞으나 E_eff 보정 관행의 출처는 coetzee2017 §7	660600a44
G3-cm-potyondy	3	docs/literature_coverage/contact_mechanics_db.json	Potyondy & Cundall, IJRMMS 41 (2004) 1329–1364	없음	V (기억)	"Supports the linear-regression porosity-target methodology"	P	BPM 미시변수를 거시 암석물성에 보정하는 논문 — "공극 표적 선형회귀" 지지는 과장	660600a44
G3-cm-tabor1951	3	docs/literature_coverage/contact_mechanics_db.json	Tabor, The Hardness of Metals (1951)	없음	V	H ≈ 2.8 σ_y · "LPSCl σ_y ≈ 0.30 GPa → H ≈ 0.85 GPa"	C · (순환)	2.8 은 Tabor/KE 계열 (kogutetsion2002 카드 p/Y → 2.8). 0.85 는 이 식으로 역산한 값 — 감사 A SA-3/SA-5 의 순환	—
G3-cm-johnson1970	3	docs/literature_coverage/contact_mechanics_db.json	Johnson, JMPS 18 (1970) 115–126	없음	V (기억)	"Regime map: elastic when (E*a/σ_y R) < 1.1, plastic when > 2.8"	U	경계값 미확인 — 감사 C C3 가 정본과 충돌 (첫 항복 aE*/(Rσ_y) ≈ 2.6)	—
G3-cm-ke2002	3	docs/literature_coverage/contact_mechanics_db.json	Kogut & Etsion, J. Appl. Mech. 69 (2002) 657–662	kogutetsion2002_ep_sphere_rigid_flat	V	δ/δ_c = 1, 6, 110 전이	V	카드 L31–33 (110 = 완전소성)	—
G3-cm-rest	3	docs/literature_coverage/contact_mechanics_db.json	Johnson 1985 (CUP) · Thornton 1997 · Storåkers, Biwa & Larsson 1997 · Maugis 1992 JCIS 150 · Greenwood & Williamson 1966 PRSA 295 · Brake 2012 IJSS · Hertz 1882 · Holm 1967 · Maxwell 1873	storakers1997 (나머지 카드 없음)	V/B	방법·서지	C	Brake 2012 는 감사 C C3/C4 (B⚠)	—
G3-cv-sakuda	3	docs/literature_coverage/coverage_db.json	Sakuda, Hayashi, Tatsumisago, Sci. Rep. 2013, 3, 2261	sakuda2013_sulfide_mechanical_property	V	"EXPERIMENTAL anchor for our lab E_SE=24 GPa assumption — confirmed by direct measurement" · "LPSCl is derivative with Cl substitution"	M	24 GPa 는 유리값 — LPSCl E 를 "직접 측정으로 확인" 한 것이 아니다 (SA-2). 밀도–압력 표 (0→500 MPa: 30…95 %) 는 카드 판독과 추세 일치 (V)	660600a44 (import)
G3-cv-minnmann21	3	docs/literature_coverage/coverage_db.json	Minnmann, Quillman, Burkhardt, Richter, Janek, JES (abf8d7)	minnmann2021_jes_charge_transport_bottlenecks	V	값 (R_el 107 · R_ion 360 · 0.17 mS/cm · τ 2.07 · 14 %) · verdict "EXACT MATCH — DEM reduced-E calibration experimentally confirmed"	V · P	값은 카드와 같다. "실험으로 확인" 은 과장 (복합 13–17 % 와 DEM 복합 공극의 대략 일치일 뿐)	—
G3-cv-koerver17	3	docs/literature_coverage/coverage_db.json	Koerver et al., Chem. Mater. 2017, 29, 5574–5582	없음	V (검색)	446 MPa 조립 · 64 MPa 운전 · 70:30 wt%	B	PARTIAL 파싱 (5 쪽) 표지 있음	—
G3-cv-others	3	docs/literature_coverage/coverage_db.json	Hlushkou 2018 JPS 396, 363–370 · Zhou 2019 ACS EL 4, 265–270 · Strauss 2018 ACS EL 3, 992–996 · Zhang 2017 ACS AMI 9, 17835–17845 · Mohayman 2025 (acsaenm.5c00184) · Koerver 2018 EES (c8ee00907d) · Bielefeld 2019 · Minnmann 2022 · Lee 2024 Nat. Commun. 15 (user-supplied)	bielefeld2019 · minnmann2022 (나머지 카드 없음)	V (검색 5) · 카드 2 · U (Lee 2024 · Koerver 2018 미검색)	τ 1.6/1.74 · Li₆PS₅Cl σ ~3 / 2.4 mS/cm · NCM d50 · LGPS 조성 스윕 · DFT E 30.08 GPa · NCM811 ΔV ~−6 % · 커버리지 30.6/33.3/67.2 %	B	존재는 확인, 값은 원문 미대조. ⚠ Mohayman 은 ACS **Applied Engineering** Materials (id "acs_aem" 은 오기)	—
G3-sym	3	docs/data/symposium_2026_kbs_db.json (≈20 인용)	심포지엄 슬라이드 전사: Park AEM 10 (2020) 2001563 · Lim Small 21 (2025) 2410485 · Song EES 18 (2025) 3129 · Kim ACS EL 9 (2024) 5225 · "A. A. Franco et al., JPS 580 (2023) 233427 — ε_dry 35 % → ε_cal 15 %, 46 → 23 µm" · 기타 (AEM 13 2204328 · Nat. Commun. 15 10134 · AEM 12 2102696 · CES 222 115716 · Ouyang JPS 610 · ENSM 43 337 · JPS 511 230384 · AEM 12 2102233 · ACS EL 10 6223 · Cooper ACS EL 7 4368 · "AEM 10 (2026) e05319")	park2020 · lim2025 · song2025_ees · kim2024_digital_twin · alabdali2023	V (카드 5) · P (233427 의 1저자는 Alabdali — "Franco et al." 표기) · U (나머지 미검색; "AEM 10 (2026)" 은 권·연도 불일치 ⚠)	캘린더링 35→15 % · 46→23 µm	V	alabdali2023 카드 L118–119 (Fig 1 라벨). 나머지는 슬라이드 원본이 출처 — 미판정	
G3-deck	3	docs/seminar/seminar_deck.json 슬라이드 3 sources	Lee et al. Nat. Commun. (2025) · Bielefeld et al. JPCC (2019) · Kim et al. AFM (2024) · Minnmann et al. JES (2021) (+ DOI 4 개)	lee2025_corolling · bielefeld2019 · kim2024_carbon · minnmann2021	V	추천 문헌 그림 (Fig. 2h-i · Fig. 1 · Fig. 1e · Fig. 2a-b)	C	그림 추천용 — 값 귀속 없음	
G3-meta	3	docs/reviews/claims.json:1839,1848,1869,1884,1899,2298 · docs/data/audit_20260909/*.json (15 줄)	원장·감사 기록 안의 서지	—	—	기록 (provenance) 필드	메타	원장·감사 자신의 기록 — 판정 대상 아님 (claims.json:2298 은 CL-90 검증 기록)	
G4-ms616	4	docs/reviews/ms_readthrough_20260903.md:616	"PTFE_L = 40 µm → [S7] Front. Energy Res. **2024**, 11, 1336344 (DOI 10.3389/fenrg.2023.1336344)"	matthews2024_ptfe_nanofibril_network	P (서지 — 권 11 은 2023 권, 게재 2024-01 이라 문서 스스로 설명)	PTFE fibril 길이 40 µm 의 출처	M	카드 L26·522: 40 µm 없음, 논문은 primary "100's µm", Fig 2A ">50 µm". 같은 문서 뒤쪽 (:690 이하) 과 원장 CL-66 이 "Assumed 로 되돌린다" 로 이미 정정 — 그러나 :607 제목 "✅ 최종 확정" 표는 정정 표지 없이 남아 있다	4882d04b6 2026-09-04
G4-ms615	4	docs/reviews/ms_readthrough_20260903.md:615 · :625	"PTFE_D = 0.25 µm → [S6] Energy Environ. Sci. 2025, 18, 8446" · 저자 목록	lee2025_dual_fibrous_ptfe_dry_electrode	V	rope Ø 0.248 µm (Fig S2c, N=100)	V	원장 CL-66 (live)	
G4-rdb58	4	docs/rint_anchor_db_research.md:58	"LPSCl σ_ion 1.6 mS/cm (25 °C) \| Bielefeld/Dewald/Janek, Charge Transport Bottlenecks, JES — abf8d7"	minnmann2021_jes_charge_transport_bottlenecks	M (서지 — 저자 Minnmann, Quillman, Burkhardt, Richter, Janek)	1.6 mS/cm	V	카드 L91. 같은 오귀속이 스크립트 세 곳의 GAP3-37 메모에서 이미 지적됐다	84bc3b354 2026-07-20
G4-rdb94	4	docs/rint_anchor_db_research.md:94	"De Biasi operando-XRD — NMC811 ≈ 12.5 % volume swing (lithiated↔delithiated)"	없음 (정본에 De Biasi 카드 없음)	U (서지 불명 — 논문·연도 없음)	NMC811 단위포 부피 변화 12.5 %	U⚠	리포 다른 곳은 NCM811 격자 −5.1 % (CLAUDE.md A10) · Koerver 2018 전사 ~−6 % (coverage_db) — 12.5 % 는 두 배 이상 크다	84bc3b354 2026-07-20
G4-rdb	4	docs/rint_anchor_db_research.md 나머지 (:21,:25,:43,:50,:83,:85,:159,:162,:166,:173,:181)	OBELiX (RSC DD) · LiionDB 리뷰 · LiPON 7.6 Ω·cm² "Energy Mater. Adv. 2024" · kim2025 R_ct · halide-coated 92 %@100 · Sci. Adv. 2025 ady7189 116 mAh/g@200 · acsami.1c07952 40 Ω·cm² · MDPI Inorganics 14(7):180 · Zenodo	kim2025 (나머지 없음)	V (kim2025) · V/B (검색: Sci. Adv. 11 eady7189 = Zheng et al., LNO@NMC811 116 mAh/g @200; ACS AMI 13 37809) · U (LiPON 리뷰 · halide ACS AEM · MDPI · Zenodo 는 데이터 자원)	앵커 후보 표	B	데이터 자원·계획 문서 — 모델 값으로 쓰인 것은 kim2025 (V) 와 40 Ω·cm² (B) 뿐	
G4-lda	4	docs/literature_dry_assb.md P6 (:42 · :95)	"J. Power Sources 17616 — 10.1016/j.jpowsour.2025.17616 (verify exact article number)"	없음	M (서지 — PII S0378775325017616 의 숫자로 DOI 를 지었다; JPS 2025 기사번호는 6 자리. 논문 자체는 실재: "Optimization of PTFE fibrillation in dry electrode process for scalable all-solid-state battery manufacturing")	195.7 mAh/g [VERIFIED]	B	"VERIFIED" 는 검색 요약 기준 — 미확인	970f484b7 2026-06-25
G4-ldb	4	docs/literature_dry_assb.md P8 (:44 · :147)	"Energy Storage Mater. **24, 247** — 10.1016/j.ensm.2019.05.033" · "Sulfide SE + NCM + PTFE … 6.5 mAh/cm²"	없음	M (서지 — 그 DOI 는 Hippauf et al., ENSM **21 (2019) 390–398**)	바인더 0.1 wt% · 6.5 mAh/cm²	U	검색 요약: 0.1 wt% PTFE V, 그러나 1661 mAh/g (Li–S 황 양극) — "NCM" 계 기술과 6.5 mAh/cm² 는 미확인	970f484b7 2026-06-25
G4-ldc	4	docs/literature_dry_assb.md :330	"DEM … coated particles: JPS (2022) S0378775322002968 (DOI 10.1016/j.jpowsour.2022.231464 — verify)"	so2022_dem_compaction_coated_particles_assb	M (서지 — 정본 카드: So et al., JPS **530, 231279** (2022))	마찰 상호작용이 연결성 지배	U	카드 own DOI 231279 (session_20260819_litdb_pending.md:147 도 같은 정정)	970f484b7 2026-06-25
G4-ldd	4	docs/literature_dry_assb.md P2 (:38 · :501)	"Commun. Mater. **6** — 10.1038/s43246-025-01046-0" (2025)	없음	P (서지 — 검색: Kang, Jeong, Kang et al., Commun. Mater. **7**, 34 (2026); 접수 2025-07)	FEM+GPR+Bayes 피브릴화	B	—	970f484b7
G4-lde	4	docs/literature_dry_assb.md P13 (:49)	"J. Power Sources 580, 233422 — 10.1016/j.jpowsour.2023.233422" (ORNL)	없음	U (서지 — 검색 요약은 같은 논문을 기사번호 233481 로 보고; 미확정)	중간 공극 ~32 % 최적 · 과치밀 → 2차입자 파괴	B	검색 요약: Tao … Li (ORNL) "Correlation among porosity, mechanical properties …" — 32 % V(요약)	970f484b7
G4-ldf	4	docs/literature_dry_assb.md P1 · P3 · P10 · P17 (표 + 상세)	Front. Energy Res. 11, 1336344 · EES 18, 8446–8461 · Batteries 9, 595 · Adv. Mater. 2506123	matthews2024 · lee2025_dual_fibrous · reisacher2023 · mun2025	V	PTFE fibril 계층 · rope · p_c ≈ 4 wt% C65 · 리뷰	V (값은 카드 소관 — CL-66/67)	—	—
G4-ldg	4	docs/literature_dry_assb.md P4 · P5 · P7 · P9 · P12 · P14 · P15 · P16 · P18	JMCA (D5TA01950H) · PT 451, 120451 · CEJ 487, 150221 · CEJ 451, 138588 · RSC Adv. 5, 95073 · Matter 5, 876 · EER 8 · JSSE · AFM 202518517	없음	V (검색 9 편 — 존재 확인; P4 = JMCA 13, 18283–18291; P5 = Horst … Kwade; P7 = 188 mAh/g · 90.4 % @100 요약 일치; P9 = 40 µm SE 막 8.4 mS/cm; P12 = Cho … Lee RSC Adv 2015; P14 = Lu … Zhang Matter 2022; P15 = Han … Kim EER 2025; P16 = Chen & Kong JSSE (2026 온라인); P18 = Rosner AFM 2026)	"[VERIFIED]" 로 적힌 수치들	B	존재 V, 수치는 검색 요약 수준 — 이 문서의 "[VERIFIED]" 는 원문 확인이 아니다	970f484b7 2026-06-25
G4-ldh	4	docs/literature_dry_assb.md :235–237 · :322–323 · :370 · :430–461 (맥락 항목 13)	Yamada 류 JPS 2023 "232922 — verify" · Thompson AFM 10.1002/adfm.75195 · Tran 2025 (PMC12306411) · ente.202300098 · adfm.202518619 · D5MH02484F · D5SC00059A · s40684-026-00885-7 · Int. Polym. Process. 2011 · JNNFM 2006/2007 · rs.3.rs-9203898 · matdes 110201 "verify"	nam2026_dpe_microstructure_review (D5MH02484F)	V (Thompson AFM 2026 "High Pressure Densification … Li₃PS₄ and Li₆PS₅Cl" — 검색; D5MH02484F 카드) · U (나머지 — 검색 안 함, 모델 값 미사용)	~590 MPa 에서 공극 50 → 3–12 % · >500 MPa σ 감소 · "our Minnmann anchor ~10 % @300 MPa sits right in this band"	B · M	Thompson 요약과 일치 (500 MPa 이상 σ 감소) · 마지막 문장은 감사 A/C 의 10 % M 을 다시 쓴다	970f484b7
G4-adh	4	docs/adhesion_agc_interlayer_20260923.md (11 줄)	Liao AM 37, 2502114 ✅ · Shozib JES 171, 090524 (원문 미확인) · Song ACS AEM 8, 5636 ✅ · Pustorino Chem. Mater. 37, 313 ✅ · Giovannetti PRL 101 ✅ · Maurer JCP 143 ✅ · Lee Nat. Energy 5, 299 · Spencer-Jolly Joule 7, 503 ✅ · Siegel PRB 65, 085415 · Lepley PRB 92, 214201 · McGrogan AEM 7 (확인 필요)	liao2025 · song2025_porous · pustorino2025 · giovannetti2008 · maurer2015 · spencerjolly2023	V (카드 6) · V (검색: Siegel = Al(111)/α-Al₂O₃ W_ad, 2002) · 표지대로 U (Shozib · McGrogan)	Γ lamination 의존 · E 4.7 ± 1.1 GPa, K_IC 0.17 ± 0.03 · 45 meV/C · Ag 5.7 vol% · 5 ± 1 µm · 400 → 2 MPa · W_ad 종단별 ~10×	V (카드 값 전부 일치) · B (Siegel 값)	이 문서는 ✅/미확인 표지를 스스로 정확히 달았다 — 모범 사례	
G4-sig58	4	docs/sigma_ionic_physics_derivation.md:58	Cronau, Szczuka, Janek (J. Phys. Chem. Lett., 2022, doi 10.1021/acs.jpclett…)	없음	F	σ_grain 출처	F	감사 A ② (F) — 저자-연도 없는 형식이라 인벤토리 사각. 여기서는 확인만	(감사 A)
G4-sem	4	docs/seminar_20260806_glossary.md (5) · docs/seminar_20260806_script.md (3)	Bucci JMCA 2017 [✓] · Cronau ACS EL 6 (2021) 3072 [✓] · Chen JES 167 080534 [⚠ 쪽 확인] · Yun ENSM 2023 [✓] · Trevisanello AEM 11 2003400 [✓] · 대본 우상단: "Nat. Energy 5 (2020) 259 / JES 168 040537" · Minnmann · Bazzoun+Holm	bucci2017 · cronau2021 · yun2023 · trevisanello2021 · minnmann2021 · bazzoun2026	V (카드) · V (검색: Randau et al., Nat. Energy 5, 259–270 (2020)) · B (Chen 2020)	용어 정의 (PC vs SC: PC 는 입계 균열·저항, SC 없음)	V	Trevisanello 카드: SC 균열 없음·PC 균열 — 정의 수준에서 맞다	
G4-cardcopy	4	docs/lit_*.md (49 줄, 카드 사본 21 파일)	각 사본의 머리 서지 (권·쪽·DOI)	해당 정본 카드	V	—	V	정본과 필드 일치 (예외: lit_minnmann2022:63 의 040502/abf3a3 — §1b Minnmann2021 과 같은 F 항목, 정본 카드도 같은 오염)	
G4-misc	4	docs 나머지 (References_and_Methodology:121 · additive_sheath_a14:3 · plan_vgcf_ptfe:6 · positioning_vs_geodict:109,126 · positioning_in_dt_lineage:523 · mpm_platen:953 · temp_pressure:707 · session_20260819:147 · sigma_vgcf_anchoring:67 · gap_audit_r3:226 · si_table_response (7) · literature_coverage/README (7) · Klar txt (2) · literature_yonsei_dtbl (28) · symposium_digest (4) · step4_acceleration (3) · stage4_electrochem (3) · a10_cycle:60 · joule_hotspot:42 · nca_material_preset:24)	Janek & Zeier Nat. Energy 1, 16141 · koo2026 · zhang2026 (Nat. Energy 2026) · kim2024 ACS EL · park2020 AEM · kang2025 AM · kim2025 EA · So 2022 JPS 231279 · Reisacher Batteries 9 · si_table_response §1·§8 문안 (Amin & Chiang · Wang 2018 · Endo · Sedlatschek · Xu · Ohno) · Yonsei 목록 · J. Sci. Comput. 2021 · PyBaMM/JOSS · "Nat. Commun. 2024" · aenm.70978 · "Joule 리뷰 envelope 80–200 GPa"	대부분 해당 카드	V (카드·검색) · B (aenm.70978 = Ayyaswamy et al. "Self-Heating and Thermal Gradient in SSB", AEM 2026 — "+40 Wh/kg @2C" 미확인) · U (a10:60 서지 없음 · Yonsei 목록의 AEM e70730 검색 미발견) · nca_material_preset:24 「Joule 리뷰 envelope 80–200 GPa」 = stallard2022 카드 p.993 stated → V, 「탈리튬 시 −50~60 % 연화」 → P (카드 Fig 12B: NMC532 E 145 → 112 GPa @x 0.5 = −23 %, LCO 박막 Top 178 → 89 = −50 % — NMC 기준으론 과대)	—	V 다수	si_table_response §8 의 각주 문안은 전부 카드 대조로 V (Ohno 는 SI 만 — 권·쪽 미확인 표지 있음)	
